iter	Passed	Remaining
412	3557	5056
413	3566	5048
414	3575	5040
415	3584	5032
416	3594	5024
417	3603	5016
418	3612	5008
419	3621	5000
420	3629	4992
421	3638	4983
422	3647	4975
423	3656	4966
424	3664	4958
425	3673	4949
426	3682	4941
427	3691	4933
428	3700	4925
429	3709	4917
430	3718	4909
431	3727	4901
432	3736	4893
433	3746	4885
434	3755	4877
435	3765	4871
436	3774	4863
437	3783	4855
438	3793	4848
439	3802	4840
440	3812	4832
441	3821	4825
442	3831	4816
443	3840	4808
444	3849	4800
445	3858	4792
446	3866	4783
447	3875	4775
448	3884	4766
449	3893	4758
450	3901	4749
451	3910	4741
452	3919	4732
453	3928	4724
454	3936	4715
455	3946	4707
456	3955	4699
457	3963	4690
458	3972	4682
459	3982	4674
460	3990	4666
461	3999	4657
462	4008	4648
463	4017	4640
464	4026	4632
465	4034	4623
466	4043	4615
467	4053	4607
468	4062	4599
469	4071	4591
470	4080	4582
471	4088	4573
472	4097	4565
473	4107	4557
474	4116	4549
475	4125	4541
476	4134	4533
477	4142	4523
478	4151	4516
479	4160	4507
480	4170	4499
481	4179	4491
482	4188	4482
483	4197	4474
484	4207	4467
485	4217	4460
486	4226	4452
487	4236	4444
488	4245	4436
489	4253	4427
490	4263	4419
491	4272	4411
492	4281	4403
493	4290	4395
494	4298	4385
495	4307	4377
496	4316	4368
497	4324	4359
498	4332	4350
499	4341	4341
500	4349	4332
501	4357	4323
502	4366	4314
503	4375	4306
504	4385	4298
505	4394	4289
506	4403	4281
507	4411	4272
508	4420	4264
509	4429	4255
510	4437	4246
511	4445	4237
512	4454	4228
513	4462	4219
514	4471	4210
515	4479	4201
516	4487	4192
517	4495	4183
518	4504	4174
519	4512	4164
520	4520	4156
521	4528	4147
522	4537	4138
523	4545	4129
524	4554	4120
525	4562	4111
526	4571	4103
527	4580	4094
528	4588	4085
529	4596	4075
530	4604	4066
531	4612	4057
532	4620	4048
533	4628	4039
534	4636	4029
535	4645	4021
536	4653	4012
537	4661	4002
538	4669	3993
539	4677	3984
540	4685	3975
541	4693	3966
542	4701	3957
543	4709	3947
544	4717	3938
545	4725	3929
546	4733	3920
547	4741	3910
548	4749	3901
549	4757	3892
550	4765	3883
551	4773	3873
552	4781	3864
553	4789	3855
554	4797	3846
555	4805	3837
556	4813	3828
557	4821	3818
558	4829	3810
559	4838	3801
560	4847	3792
561	4856	3785
562	4865	3776
563	4874	3768
564	4884	3760
565	4893	3752
566	4902	3743
567	4911	3735
568	4921	3727
569	4930	3719
570	4939	3711
571	4948	3702
572	4956	3693
573	4964	3684
574	4973	3675
575	4981	3666
576	4989	3657
577	4997	3648
578	5006	3640
579	5015	3631
580	5022	3622
581	5030	3612
582	5038	3603
583	5047	3595
584	5055	3586
585	5064	3577
586	5072	3568
587	5080	3559
588	5089	3551
589	5098	3542
590	5106	3533
591	5114	3524
592	5122	3515
593	5130	3506
594	5138	3497
595	5145	3488
596	5154	3479
597	5162	3470
598	5170	3461
599	5178	3452
600	5186	3443
601	5193	3433
602	5201	3424
603	5210	3415
604	5218	3406
605	5226	3398
606	5235	3389
607	5243	3380
608	5251	3371
609	5259	3362
610	5267	3353
611	5276	3345
612	5286	3337
613	5294	3328
614	5303	3319
615	5312	3311
616	5321	3303
617	5330	3294
618	5339	3286
619	5349	3278
620	5359	3270
621	5368	3262
622	5378	3254
623	5387	3246
624	5395	3237
625	5404	3228
626	5412	3219
627	5421	3211
628	5429	3202
629	5437	3193
630	5445	3184
631	5453	3175
632	5461	3166
633	5470	3157
634	5478	3149
635	5487	3140
636	5495	3131
637	5503	3122
638	5511	3113
639	5519	3104
640	5528	3096
641	5536	3087
642	5544	3078
643	5552	3069
644	5560	3060
645	5568	3051
646	5576	3042
647	5584	3033
648	5592	3024
649	5600	3015
650	5608	3006
651	5616	2997
652	5624	2988
653	5632	2980
654	5642	2971
655	5650	2962
656	5658	2953
657	5666	2945
658	5674	2936
659	5682	2927
660	5690	2918
661	5699	2909
662	5706	2900
663	5714	2891
664	5722	2883
665	5731	2874
666	5739	2865
667	5747	2856
668	5755	2847
669	5762	2838
670	5770	2829
671	5778	2820
672	5786	2811
673	5794	2802
674	5802	2794
675	5810	2785
676	5818	2776
677	5826	2767
678	5834	2758
679	5842	2749
680	5850	2740
681	5858	2731
682	5866	2722
683	5874	2714
684	5883	2705
685	5891	2696
686	5899	2687
687	5907	2678
688	5915	2670
689	5923	2661
690	5931	2652
691	5941	2644
692	5950	2635
693	5958	2627
694	5967	2618
695	5977	2610
696	5986	2602
697	5995	2593
698	6003	2585
699	6013	2577
700	6021	2568
701	6031	2560
702	6039	2551
703	6048	2543
704	6057	2534
705	6065	2525
706	6073	2517
707	6082	2508
708	6090	2499
709	6098	2490
710	6106	2482
711	6114	2473
712	6122	2464
713	6130	2455
714	6138	2446
715	6146	2438
716	6155	2429
717	6163	2420
718	6171	2411
719	6179	2403
720	6187	2394
721	6195	2385
722	6203	2376
723	6211	2367
724	6219	2359
725	6228	2350
726	6236	2341
727	6244	2332
728	6251	2324
729	6259	2315
730	6267	2306
731	6276	2297
732	6284	2289
733	6292	2280
734	6300	2271
735	6308	2262
736	6316	2254
737	6325	2245
738	6334	2237
739	6343	2228
740	6352	2220
741	6361	2211
742	6370	2203
743	6379	2195
744	6388	2186
745	6398	2178
746	6407	2170
747	6417	2161
748	6427	2153
749	6436	2145
750	6446	2137
751	6455	2128
752	6465	2120
753	6474	2112
754	6483	2104
755	6492	2095
756	6501	2087
757	6510	2078
758	6519	2070
759	6527	2061
760	6535	2052
761	6544	2044
762	6553	2035
763	6561	2026
764	6570	2018
765	6579	2009
766	6588	2001
767	6597	1992
768	6606	1984
769	6614	1975
770	6623	1967
771	6632	1958
772	6641	1950
773	6650	1941
774	6659	1933
775	6667	1924
776	6676	1916
777	6685	1907
778	6697	1900
779	6704	1891
780	6713	1882
781	6722	1873
782	6730	1865
783	6739	1856
784	6748	1848
785	6756	1839
786	6764	1830
787	6773	1822
788	6781	1813
789	6790	1805
790	6798	1796
791	6807	1787
792	6815	1779
793	6824	1770
794	6832	1761
795	6841	1753
796	6849	1744
797	6857	1735
798	6866	1727
799	6875	1718
800	6884	1710
801	6892	1701
802	6900	1692
803	6909	1684
804	6917	1675
805	6925	1666
806	6934	1658
807	6942	1649
808	6951	1641
809	6962	1633
810	6971	1624
811	6979	1615
812	6987	1607
813	6995	1598
814	7003	1589
815	7011	1581
816	7020	1572
817	7029	1564
818	7038	1555
819	7047	1546
820	7055	1538
821	7064	1529
822	7073	1521
823	7083	1513
824	7093	1504
825	7101	1495
826	7111	1487
827	7120	1479
828	7129	1470
829	7139	1462
830	7147	1453
831	7156	1445
