iter	Logloss
0	0.6499015967
1	0.6134533132
2	0.5829377623
3	0.5555382119
4	0.531532735
5	0.5109582475
6	0.4886547966
7	0.467961425
8	0.4496469858
9	0.4335916437
10	0.4204289982
11	0.407681576
12	0.3976893504
13	0.3856687558
14	0.3771358353
15	0.3698112244
16	0.3624099609
17	0.3530835291
18	0.3461555753
19	0.3392290957
20	0.3322042466
21	0.3270740405
22	0.3220415471
23	0.3175613608
24	0.311864813
25	0.3079765527
26	0.3031815543
27	0.2986576318
28	0.2956198608
29	0.2918427958
30	0.2895645703
31	0.2867824206
32	0.2845219901
33	0.2824727373
34	0.2797549079
35	0.2767317454
36	0.2743221958
37	0.2715104314
38	0.2699670212
39	0.2685171965
40	0.2655526326
41	0.2644805346
42	0.2622437902
43	0.260248447
44	0.2582784354
45	0.2563939741
46	0.2548791538
47	0.2539325664
48	0.2530786144
49	0.2523335734
50	0.2510681967
51	0.2496008472
52	0.2488950466
53	0.2479590101
54	0.2467877477
55	0.2459797481
56	0.2450817812
57	0.2442429152
58	0.2435595771
59	0.2432149162
60	0.2420099388
61	0.2416423075
62	0.2407249006
63	0.2396792149
64	0.2389778506
65	0.23824425
66	0.2377287334
67	0.2364361737
68	0.2359111882
69	0.2354315623
70	0.2349123536
71	0.2346958608
72	0.2342022444
73	0.2338831699
74	0.2336035894
75	0.2333808293
76	0.2328966716
77	0.2322884235
78	0.2316339169
79	0.2314027196
80	0.2311723752
81	0.2305319066
82	0.2298301495
83	0.2294844782
84	0.2291663261
85	0.2286051724
86	0.2278374493
87	0.2271624605
88	0.226732619
89	0.2265465235
90	0.2263079227
91	0.2260973423
92	0.225756248
93	0.2254496845
94	0.2250981969
95	0.224652871
96	0.2244062926
97	0.2237193805
98	0.2228550783
99	0.222655366
100	0.2222795092
101	0.2218496421
102	0.2216955056
103	0.2215378722
104	0.2214389908
105	0.2210890129
106	0.2204400542
107	0.2202396906
108	0.220107215
109	0.2199226534
110	0.2197606177
111	0.2196346554
112	0.2194883592
113	0.2192275796
114	0.2190374847
115	0.2189173911
116	0.2186784587
117	0.2184777649
118	0.2180342946
119	0.2178761052
120	0.2176593702
121	0.2175408664
122	0.2168052199
123	0.2166810522
124	0.2166308839
125	0.2163893333
126	0.2159739012
127	0.2156270082
128	0.2153318322
129	0.2149672574
130	0.2149019605
131	0.2147538156
132	0.2145942198
133	0.2143858523
134	0.2142150815
135	0.2141478957
136	0.2140693962
137	0.2139494334
138	0.2138728294
139	0.2137437909
140	0.2135391137
141	0.2133703753
142	0.213281528
143	0.213138517
144	0.2130563267
145	0.2129080562
146	0.2128179293
147	0.2127147748
148	0.212568408
149	0.2124110921
150	0.2121661653
151	0.2119549851
152	0.2118275816
153	0.2115606439
154	0.2113480109
